output_wattage,battery_capacity,fuel_type,engine_type,condition,link_text,affiliate_link,asin
2200,1024,Solar,Electric,New,"DJI Power 1000 Portable Power Station, 1024Wh LiFePO4 Battery, 2200W (Peak 2600W) AC/140W USB-C Output, 23db Ultra-Silent, Solar Generator For Home Backup, Camping(Solar Panel Optional)",https://amzn.to/4niyXhi,B0CZ5RYBWW
1000,768,Battery,Electric,New,"BLUETTI Solar Generator AC70, 768Wh LiFePO4 Battery Backup w/ 2 1000W AC Outlets (Power Lifting 2000W), 100W Type-C, for Road Trip, Off-grid, Power Outage (Solar Panel Optional)",https://amzn.to/4niyXhi,B0CLG6FYLQ
800,768,Solar,Electric,New,"EF ECOFLOW Portable Power Station RIVER 2 Pro, 768Wh LiFePO4 Battery, 70 Min Fast Charging, 4X800W (X-Boost 1600W) AC Outlets, Solar Generator for Outdoor Camping/RVs/Home Use Black",https://amzn.to/4niyXhi,B0BVLPGS79
2400,1048,Solar,Electric,New,"Anker SOLIX F2000 Portable Power Station, PowerHouse 767, 2400W Solar Generator, GaNPrime Battery Generators for Home Use, LiFePO4 Power Station for Outdoor Camping, and RVs (Solar Panel Optional)",https://amzn.to/4niyXhi,B09XM7WDZ2
7200,5040,Solar,Electric,New,"Jackery Solar Generator 5000 Plus Portable Power Station with 2x 500W Solar Panels and Smart Transfer Switch, 5040Wh Power Station, 7200W AC Output Solar Generator for Home Use, Emergency Backup",https://amzn.to/4niyXhi,B0DKJ7P5L8
2200,2048,Solar,Electric,New,"DABBSSON 2000L Solar Generator(2025 New), 2048Wh Semi-Solid LiFePO4, 2200W AC Output&6, P-Boost 3300W, Compact&Lightweight, 1.3X Runtime, Portable Power Station for Camping/Home/RV",https://amzn.to/4niyXhi,B0DTTVWHBG
300,380,Solar,Electric,New,"ZeroKor Portable Solar Generator, 300W Portable Power Station with Foldable 60W Solar Panel, 110V Pure Sine Wave 280Wh Lithium Battery Pack with USB DC AC Outlet for Home Use RV Van Outdoor Camping-Orange",https://amzn.to/4niyXhi,B0CHFM3V8Q
600,299,Solar,Electric,New,"ALLPOWERS 600w Portable Power Station, 299Wh LiFePO4 Battery Backup, R600(Peak 1200w) Solar Generator, 1 Hour Fast Charge Solar Power Bank, for Home Outdoor Travel Emergency RV",https://amzn.to/4niyXhi,B0FG24VHMF
1000,999,Solar,Electric,New,"GRECELL 1000W Portable Power Station With 2x 100W Solar Panels, 999Wh Backup Lithium Battery, Pure Sine Wave AC Outlet, 60W PD Quick Charge Solar Generator Set for Outdoor Emergency Camping Travel",https://amzn.to/4niyXhi,B0BLSLM69P
1800,1024,Solar,Electric,New,"Pecron Portable Power Station E1000LFP, 1024Wh/1800W LiFePO4 Battery Backup, Solar Generator Expandable to 4096Wh, Fast Charging Power Station for Emergencies, Camping, RV, Home Use",https://amzn.to/4niyXhi,B0FN7RL92D
